episode,global_steps,return,length,elapsed_sec
245,7920,3.5677937434883535,100,4079.05
246,7954,4.0636418015317455,34,4095.1
247,7968,3.7484333699792103,14,4101.57
248,7992,4.577123246049101,24,4116.33
249,8016,4.318573352341222,24,4128.17
250,8045,3.0751332678011307,29,4142.14
251,8065,4.748064701606822,20,4154.22
252,8081,3.659495687186477,16,4161.5
253,8095,4.08435386633149,14,4168.54
254,8195,-1.2119529273325895,100,4242.61
255,8214,4.350343893915661,19,4252.38
256,8314,3.3662939030062593,100,4275.57
257,8338,4.238588433090857,24,4286.68
258,8353,3.6760962741627625,15,4293.24
259,8399,3.04090777109485,46,4333.74
260,8422,4.2603907552239395,23,4346.0
261,8457,4.63682632823122,35,4369.44
262,8470,3.9925575682482597,13,4376.57
263,8490,4.619805883436809,20,4388.47
264,8503,3.6872626015158705,13,4394.55
265,8523,4.617765530169033,20,4405.55
266,8561,4.089134139187581,38,4425.04
267,8661,1.7676287363336856,100,4501.48
268,8682,4.300956806305873,21,4512.36
269,8699,3.5478900415390204,17,4520.15
270,8799,1.6955436667590278,100,4556.08
271,8899,1.255683824061024,100,4605.98
272,8936,4.563035550751132,37,4627.9
273,8957,5.153796219210373,21,4640.31
274,8988,5.170552577853703,31,4657.45
275,9005,3.540539560944712,17,4664.97
276,9027,3.610339453692609,22,4673.59
277,9047,4.3376949479686635,20,4683.89
278,9065,4.3688448306593495,18,4693.55
279,9091,4.085224519794197,26,4706.15
280,9191,1.3531058772656595,100,4736.31
281,9215,4.154252675778565,24,4746.68
282,9233,4.40573468178616,18,4755.66
283,9245,3.734506807360493,12,4761.56
284,9271,3.479025370523971,26,4774.43
285,9296,4.008305634752733,25,4792.31
286,9323,3.9997462257810796,27,4815.49
287,9423,0.5591683628899465,100,4891.39
288,9444,3.3003934608912395,21,4900.18
289,9477,4.103859752116049,33,4916.72
290,9496,3.7444665609750722,19,4924.88
291,9513,3.5516633158964264,17,4932.87
292,9536,5.064990509843214,23,4945.93
293,9562,3.4466889562338774,26,4962.92
294,9582,4.2902221357616845,20,4972.65
295,9618,4.735295924011079,36,4998.83
296,9642,5.03560928386511,24,5012.57
297,9670,4.5815167188125585,28,5026.46
298,9691,4.536091932410593,21,5037.23
299,9716,4.446053378126493,25,5051.66
300,9746,3.8803936272091213,30,5068.49
301,9791,2.9016323291560635,45,5087.42
302,9813,5.110830278731883,22,5101.88
303,9845,4.12718566160637,32,5118.22
304,9880,3.9502459240094154,35,5147.2
305,9898,3.5191440559201395,18,5154.21
306,9928,2.9184998565849716,30,5169.17
307,9945,4.426643707381242,17,5177.55
308,9969,4.435668212799535,24,5191.14
309,9996,4.049856706734867,27,5208.16
310,10011,4.482489572748926,15,5216.42
311,10034,4.4755430657271384,23,5229.37
312,10055,3.365526787477206,21,5239.84
313,10108,3.989267467176728,53,5274.3
314,10208,1.0072140167917458,100,5298.81
315,10234,3.809484960511461,26,5314.3
316,10267,4.591109750268047,33,5334.12
317,10283,3.872933795195588,16,5342.67
318,10309,4.399515125553333,26,5359.47
319,10329,4.6388778107053685,20,5370.02
320,10346,3.503330099664864,17,5378.4
321,10364,4.3523316326434065,18,5388.35
322,10390,4.984787088178642,26,5402.64
323,10408,3.760437856885478,18,5410.24
324,10423,3.911666813744281,15,5418.86
325,10441,3.7870228545611675,18,5429.01
326,10460,4.635687481682936,19,5439.52
327,10482,4.5768942104305,22,5451.91
328,10496,3.9259286640686057,14,5459.18
329,10522,4.98125808100059,26,5476.64
330,10538,3.841186034898448,16,5483.61
331,10559,4.246204283402342,21,5493.31
332,10571,3.705510660093217,12,5498.78
333,10588,4.386326205411091,17,5508.17
334,10609,4.572557605265749,21,5520.18
335,10629,4.560711821592761,20,5532.31
336,10666,4.103025053887315,37,5549.89
337,10683,3.496969476105233,17,5557.39
338,10709,4.3396624442485505,26,5570.06
339,10731,4.505312237667069,22,5581.77
340,10755,4.343993298955988,24,5596.6
341,10775,3.4560137715824872,20,5605.41
342,10875,3.1032326545876043,100,5645.99
343,10899,5.052543974586062,24,5664.24
344,10916,4.367823069189361,17,5672.67
345,10936,3.7061335645358238,20,5681.74
346,10949,3.9726058833464735,13,5688.41
347,10974,4.976542058399431,25,5703.63
348,10997,4.3496513923254945,23,5714.28
349,11014,4.390288063712986,17,5724.29
350,11033,3.7188239848359625,19,5734.08
351,11055,4.561639450564215,22,5745.25
352,11103,5.034829827429761,48,5783.04
353,11120,3.801754862569095,17,5791.41
354,11137,3.4736047540790347,17,5800.29
355,11150,3.6664570119663735,13,5807.77
356,11174,4.498273177858612,24,5822.25
357,11192,4.648213782598868,18,5832.27
358,11209,3.7996764566280725,17,5841.01
359,11227,4.345405665700891,18,5851.5
360,11248,5.107699185390095,21,5863.14
361,11268,3.696470405348009,20,5872.1
362,11297,3.656292769935622,29,5885.92
363,11315,4.421537012391071,18,5895.56
364,11333,3.481087298514676,18,5902.74
365,11351,3.7839817947578958,18,5910.32
366,11365,3.9251688398809645,14,5917.9
367,11398,4.040571733026757,33,5937.03
368,11469,4.135347163007279,71,6003.07
